# machine
#   cpu           AMD Ryzen 9 9950X 16-Core Processor
#   cores         16
#   cpus_allowed  8 9 10 11 12 13 14 15 
#   kernel        7.0.0-28-generic
#   clock_policy  performance
#   clock_max_khz 4300000
# build
#   compiler      g++-15 -- gcc 15.2.0
#   std           c++26
#   flags         -O3 -DNDEBUG -falign-loops=32 -falign-functions=32
#   bench_commit  hp_bench-2026-09-07
# run
#   impl          mm_hp
#   impl_header   mm_hp.hpp
#   impl_commit   mm_hp-2026-09-07
#   date          2026-09-07T14:25:44-0400

impl       op                                 thr prepop      iters reps  min_ns  med_ns  avg_ns  max_ns   sd_ns
mm_hp      Load_deref_no_protection             1      0 1000000000   30   0.233   0.234   0.234   0.234  0.0002
mm_hp      Load_deref_no_protection             8      0 1000000000   30   0.234   0.243   0.242   0.251  0.0055
mm_hp      Load_deref_HP_protection             1      0 1000000000   30   0.410   0.419   0.419   0.428  0.0047
mm_hp      Load_deref_HP_protection             8      0 1000000000   30   0.419   0.446   0.446   0.473  0.0178
mm_hp      Load_deref_HP_protection_ctor_dtor   1      0  100000000   30   1.725   1.737   1.736   1.743  0.0045
mm_hp      Load_deref_HP_protection_ctor_dtor   8      0  100000000   30   1.745   1.791   1.794   1.868  0.0409
mm_hp      Load_deref_HP_protection             1  10000 1000000000   30   0.412   0.419   0.420   0.435  0.0060
mm_hp      Load_deref_HP_protection             8  10000 1000000000   30   0.419   0.435   0.438   0.472  0.0124
mm_hp      Load_deref_HP_protection_ctor_dtor   1  10000  100000000   30   1.724   1.738   1.737   1.744  0.0039
mm_hp      Load_deref_HP_protection_ctor_dtor   8  10000  100000000   30   1.744   1.790   1.794   1.893  0.0403
